scenario,P_bar_new,Q_total_new,Q_total_base,jp_direct_units,jp_usprod_units,jp_mxprod_units,delta_US_output,delta_US_employment
baseline,47857.71981020539,14802437.178155571,15311092.222070295,389074.8708550873,389074.8708550873,14909.90416606396,32718326926.883385,105168.97298553387
reciprocal_no_response,51065.40797205888,13872617.86624623,15311092.222070295,415577.5395855616,415577.5395855616,15925.52424465672,30541832102.53707,98172.90237665582
reciprocal_with_response,50890.408366487776,13920322.389215443,15311092.222070295,314550.4334116376,545430.245736201,63538.57015041468,38838542744.8655,124841.64186818784
reciprocal_strong_absorb,50805.260425937784,13943652.390347145,15311092.222070295,327118.97746199835,567224.0928963585,66077.39137908343,37806368538.05727,121523.84687473459
