"Total Requirements, Industry-by-Industry - Summary"
"Total Requirements, Industry-by-Industry - Summary"

,Industries/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
,Industry Description,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises
331,Primary metals,0.0111749,0.0020960,0.0487778,0.0263896,0.0143799,0.0070670,0.0383863,0.0241574,0.0383533,1.4313604,0.3543412,0.1820629,0.0290543,0.2582248,0.1797721,0.0617040,0.1011629,0.0669030,0.0195562,0.0168474,0.0054604,0.0357022,0.0162620,0.0300318,0.0110661,0.0313322,0.0056710,0.0051224,0.0044821,0.0031017,0.0042944,0.0063806,0.0191330,0.0151508,0.0096071,0.0068353,0.0129561,0.0089607,0.0076886,0.0026939,0.0020268,0.0094253,0.0069006,0.0019933,0.0037528,0.0015345,0.0032731,0.0014325,0.0082155,0.0067609,0.0015322,0.0048428,0.0056204,0.0036365,0.0084691,0.0248401,0.0076629,0.0041762,0.0063535,0.0044053,0.0107845,0.0031861,0.0091287,0.0060145,0.0063227,0.0176637,0.0167748,0.0097029,0.0088770,0.0071574,0.0279821
332,Fabricated metal products,0.0139531,0.0032082,0.0398694,0.0240310,0.0147129,0.0103829,0.0706779,0.0432613,0.0318612,0.0906518,1.1419316,0.0882363,0.0291530,0.1221163,0.0816121,0.0622632,0.0846007,0.0382697,0.0326486,0.0254923,0.0085199,0.0544108,0.0266180,0.0265145,0.0197188,0.0467705,0.0065527,0.0060715,0.0052793,0.0039462,0.0055547,0.0073635,0.0136829,0.0318292,0.0119662,0.0098651,0.0345003,0.0109499,0.0106126,0.0042498,0.0025206,0.0169124,0.0083659,0.0027354,0.0046581,0.0019184,0.0041949,0.0024157,0.0084799,0.0096606,0.0019270,0.0073562,0.0069925,0.0046769,0.0084943,0.0365192,0.0079044,0.0046678,0.0077671,0.0051290,0.0156678,0.0035070,0.0094131,0.0113939,0.0099363,0.0245684,0.0223821,0.0088161,0.0083181,0.0095274,0.0435929
333,Machinery,0.0110000,0.0014332,0.0332069,0.0460959,0.0297951,0.0049906,0.0249074,0.0096714,0.0089584,0.0222092,0.0227904,1.0959082,0.0034195,0.0251883,0.0765340,0.0173550,0.0088521,0.0074923,0.0124303,0.0068958,0.0026651,0.0137036,0.0223166,0.0202823,0.0116836,0.0177682,0.0034611,0.0033937,0.0029543,0.0020311,0.0028858,0.0044422,0.0045605,0.0062724,0.0067505,0.0039200,0.0040655,0.0140423,0.0110561,0.0015691,0.0013165,0.0034630,0.0041003,0.0011772,0.0021968,0.0013786,0.0019009,0.0009067,0.0043949,0.0052106,0.0009723,0.0046110,0.0032443,0.0023249,0.0075571,0.0351896,0.0086500,0.0029618,0.0037432,0.0030170,0.0040465,0.0020265,0.0043053,0.0024974,0.0037250,0.0120673,0.0079143,0.0034183,0.0044249,0.0060515,0.0177369
334,Computer and electronic products,0.0063886,0.0014560,0.0067287,0.0074721,0.0049625,0.0025168,0.0110312,0.0187124,0.0118119,0.0184822,0.0254073,0.0283431,1.1175539,0.0384740,0.0586483,0.0782180,0.0226304,0.0176257,0.0112061,0.0166100,0.0057227,0.0135099,0.0194975,0.0057589,0.0104641,0.0177844,0.0233820,0.0074189,0.0046131,0.0043961,0.0048037,0.0045837,0.0055436,0.0076243,0.0050750,0.0042178,0.0036252,0.0043720,0.0038049,0.0086441,0.0064610,0.0365998,0.0154118,0.0034368,0.0083684,0.0019543,0.0120094,0.0006561,0.0055745,0.0054466,0.0061175,0.0109388,0.0083996,0.0250821,0.0102407,0.0127373,0.0073648,0.0107363,0.0059641,0.0044252,0.0061477,0.0031548,0.0050561,0.0046535,0.0058004,0.0107120,0.0371416,0.0158744,0.0038042,0.0060127,0.0128461
335,"Electrical equipment, appliances, and components",0.0131580,0.0013256,0.0041221,0.0052718,0.0061870,0.0014890,0.0264662,0.0072662,0.0042730,0.0147870,0.0167416,0.0523351,0.0096757,1.0810938,0.0346258,0.0092557,0.0063122,0.0077408,0.0079966,0.0044277,0.0017721,0.0076788,0.0049004,0.0032140,0.0039841,0.0073269,0.0041496,0.0030001,0.0019434,0.0025547,0.0017943,0.0022127,0.0051778,0.0033850,0.0025917,0.0029107,0.0024899,0.0021173,0.0028068,0.0010819,0.0008658,0.0066493,0.0021821,0.0011017,0.0023743,0.0008496,0.0018946,0.0008730,0.0033602,0.0029486,0.0007288,0.0053131,0.0038115,0.0016687,0.0037468,0.0138684,0.0025456,0.0013512,0.0027018,0.0034172,0.0057657,0.0014113,0.0056025,0.0033353,0.0027279,0.0069482,0.0089446,0.0119793,0.0028340,0.0030994,0.0182354
3361MV,"Motor vehicles, bodies and trailers, and parts",0.0087092,0.0025752,0.0087349,0.0159501,0.0070702,0.0027334,0.0078544,0.0304173,0.0119994,0.0199897,0.0143702,0.0475099,0.0063512,0.0162729,1.4108194,0.0274554,0.0173737,0.0097882,0.0132564,0.0105069,0.0061438,0.0185114,0.0088376,0.0064037,0.0057063,0.0094769,0.0081741,0.0116377,0.0106595,0.0034901,0.0077485,0.0036470,0.0060064,0.0094349,0.0244524,0.0128162,0.0032764,0.0053560,0.0141609,0.0028729,0.0023861,0.0048378,0.0046511,0.0017501,0.0030703,0.0014107,0.0025096,0.0006070,0.0056681,0.0119451,0.0014629,0.0026662,0.0045464,0.0039055,0.0225707,0.0221274,0.0094301,0.0035225,0.0069558,0.0041618,0.0147085,0.0039390,0.0044558,0.0036710,0.0058350,0.0249977,0.0257736,0.0036586,0.0427278,0.0097213,0.0130385
3364OT,Other transportation equipment,0.0005704,0.0001561,0.0004388,0.0007230,0.0003914,0.0003853,0.0005838,0.0009767,0.0009202,0.0015327,0.0010931,0.0024536,0.0004646,0.0010450,0.0049221,1.3060152,0.0007309,0.0004400,0.0007425,0.0004849,0.0002330,0.0009335,0.0005696,0.0004008,0.0004541,0.0007732,0.0006064,0.0003778,0.0003049,0.0001711,0.0003772,0.0078679,0.0181331,0.0243933,0.0017982,0.0018430,0.0003632,0.0103159,0.0006054,0.0001961,0.0002093,0.0003451,0.0003627,0.0001772,0.0005334,0.0001262,0.0003999,0.0000363,0.0003399,0.0004419,0.0001296,0.0002485,0.0011937,0.0002732,0.0005070,0.0014604,0.0003006,0.0002381,0.0003268,0.0002454,0.0003657,0.0002475,0.0008218,0.0002035,0.0003189,0.0005866,0.0750627,0.0034289,0.0010457,0.0003298,0.0011857
337,Furniture and related products,0.0002530,0.0000493,0.0001911,0.0005607,0.0002378,0.0002379,0.0088049,0.0034129,0.0004015,0.0004575,0.0003914,0.0008362,0.0005228,0.0004134,0.0005081,0.0002656,1.0423239,0.0015190,0.0002961,0.0005392,0.0003161,0.0005830,0.0003234,0.0002359,0.0002037,0.0013214,0.0004521,0.0005921,0.0002391,0.0002067,0.0010159,0.0001657,0.0006809,0.0002297,0.0002382,0.0001907,0.0004609,0.0001971,0.0001945,0.0001065,0.0002765,0.0003994,0.0005891,0.0001472,0.0001934,0.0000832,0.0001853,0.0009326,0.0005353,0.0002041,0.0001051,0.0001068,0.0003214,0.0001816,0.0001823,0.0002863,0.0001935,0.0003502,0.0003717,0.0002315,0.0009790,0.0023257,0.0016284,0.0003295,0.0004925,0.0005338,0.0003160,0.0001382,0.0004940,0.0003202,0.0056514
339,Miscellaneous manufacturing,0.0006388,0.0001265,0.0006292,0.0009466,0.0005240,0.0002587,0.0014263,0.0010242,0.0009369,0.0010473,0.0011332,0.0054130,0.0005696,0.0037638,0.0056214,0.0008459,0.0012473,1.0261044,0.0007325,0.0012872,0.0073623,0.0009082,0.0009121,0.0004750,0.0008610,0.0015542,0.0008089,0.0012151,0.0007450,0.0003099,0.0008515,0.0003760,0.0004158,0.0007264,0.0005109,0.0006513,0.0004466,0.0006564,0.0009187,0.0003749,0.0003484,0.0006223,0.0006300,0.0003054,0.0005465,0.0002631,0.0004482,0.0000881,0.0007703,0.0006255,0.0002249,0.0003833,0.0011796,0.0004570,0.0019954,0.0026301,0.0010201,0.0120499,0.0209962,0.0016536,0.0031262,0.0010890,0.0010973,0.0004320,0.0009644,0.0025198,0.0029017,0.0010881,0.0004852,0.0024306,0.0011142
311FT,Food and beverage and tobacco products,0.1189830,0.0050304,0.0013486,0.0015350,0.0013430,0.0011427,0.0018776,0.0048782,0.0094170,0.0044525,0.0024338,0.0017627,0.0006372,0.0023391,0.0027614,0.0010011,0.0029523,0.0022975,1.2355987,0.0092713,0.0198420,0.0055987,0.0109590,0.0020642,0.0165513,0.0079262,0.0030035,0.0014916,0.0037857,0.0018091,0.0015244,0.0052453,0.0011143,0.0069153,0.0013551,0.0013391,0.0009151,0.0017235,0.0009668,0.0009713,0.0017015,0.0015279,0.0021609,0.0015892,0.0019653,0.0009018,0.0020330,0.0001937,0.0042865,0.0021724,0.0010926,0.0018546,0.0043440,0.0020843,0.0022793,0.0023676,0.0201441,0.0037265,0.0106715,0.0234896,0.0646575,0.0096300,0.0284843,0.0202067,0.0812727,0.0036474,0.0109190,0.0016754,0.0071187,0.0465200,0.0022130
