refYear,partnerISO,partnerDesc,cmdCode,import_value_usd,quantity,net_weight_kg,unit_price_usd
2022,ITA,Italy,8703,3566173603.0,56801.0,182169437.488,62783.641185894616
2022,ITA,Italy,8704,8665861.0,666.0,1085990.872,13011.803303303303
2022,JPN,Japan,8703,33524672675.0,1309665.0,2018957924.526,25597.899214684672
2022,JPN,Japan,8704,853457298.0,19231.0,110710234.742,44379.24694503666
2022,KOR,Rep. of Korea,8703,22217941290.0,939537.0,1365555763.841,23647.755532778378
2022,KOR,Rep. of Korea,8704,2708170.0,196.0,260669.311,13817.19387755102
2022,MEX,Mexico,8703,36512896093.0,1674241.0,2613687781.391,21808.626173292854
2022,MEX,Mexico,8704,28469536474.0,898447.0,2700427400.364,31687.496840659493
2022,NLD,Netherlands,8703,403895323.0,12645.0,28198178.001,31941.108975879793
2022,NLD,Netherlands,8704,580114.0,4.0,75935.918,145028.5
2023,BEL,Belgium,8703,2433454593.0,52312.0,138037300.166,46518.0951406943
2023,BEL,Belgium,8704,51384977.0,1223.0,4865937.856,42015.516762060506
2023,CAN,Canada,8703,34871101765.0,1236016.0,1959395029.933,28212.50029530362
2023,CAN,Canada,8704,6591531738.0,164202.0,574347613.423,40142.82248693682
2023,CHN,China,8703,2539387622.0,387569.0,161880462.699,6552.091684319437
2023,CHN,China,8704,10990101.0,15172.0,964504.866,724.3673213814923
2023,DEU,Germany,8703,23866838184.0,393926.0,1332848538.581,60587.110736534276
2023,DEU,Germany,8704,779980420.0,11863.0,78448426.851,65749.0027817584
2023,ESP,Spain,8703,224723175.0,11018.0,14644108.84,20396.00426574696
2023,ESP,Spain,8704,467003174.0,22678.0,36936555.593,20592.784813475617
2023,ITA,Italy,8703,5093157935.0,85953.0,245026259.499,59255.15031470687
2023,ITA,Italy,8704,9594117.0,510.0,1077177.42,18811.99411764706
2023,JPN,Japan,8703,40876679872.0,1465999.0,2271923790.372,27883.15672248071
